Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Tyrese Maxey,25,PHI,PG,8,8,330,24.7,.630,.390,.385,1.0,13.2,7.0,33.2,1.3,2.2,9.8,29.4,1.3,0.2,1.5,.223,7.1,-0.4,6.7,0.7,
Rui Hachimura,27,LAL,PF,9,9,323,13.5,.699,.379,.295,2.4,10.0,6.5,6.0,0.7,0.9,10.8,15.9,0.6,0.2,0.7,.108,0.6,-1.7,-1.2,0.1,
Shai Gilgeous-Alexander,27,OKC,PG,9,9,318,30.8,.638,.260,.454,1.0,15.2,8.3,32.9,1.2,3.6,6.7,34.3,1.5,0.6,2.1,.315,8.8,1.6,10.4,1.0,
VJ Edgecombe,20,PHI,SG,8,8,309,14.0,.550,.387,.176,6.1,10.4,8.2,17.3,1.7,0.6,10.5,19.0,0.4,0.2,0.6,.093,-0.1,-1.1,-1.2,0.1,
Kelly Oubre Jr.,30,PHI,PF,8,8,299,16.2,.654,.457,.276,3.3,13.4,8.3,5.3,1.8,2.1,7.8,17.6,0.6,0.2,0.8,.135,1.3,-0.6,0.7,0.2,
Lauri Markkanen,28,UTA,PF,8,8,297,22.2,.608,.454,.339,6.2,12.8,9.5,10.4,0.8,1.4,5.7,29.3,0.9,0.2,1.1,.174,6.5,-1.8,4.7,0.5,
DeMar DeRozan,36,SAC,PF,8,8,295,16.4,.560,.102,.391,1.2,10.8,6.0,15.3,1.4,0.3,5.1,22.8,0.4,0.1,0.5,.086,-0.3,-1.5,-1.7,0.0,
Devin Booker,29,PHO,SG,8,8,294,22.7,.650,.321,.453,4.1,7.6,5.9,32.7,0.6,0.9,15.1,31.7,0.9,0.0,1.0,.159,5.6,-2.3,3.3,0.4,
Cade Cunningham,24,DET,PG,8,8,289,18.8,.535,.325,.331,2.5,12.4,7.5,42.3,1.3,2.3,13.7,29.8,0.4,0.4,0.8,.125,3.3,-0.5,2.8,0.4,
Payton Pritchard,28,BOS,PG,9,9,287,15.6,.526,.549,.172,4.0,9.8,6.8,23.8,1.6,0.0,7.7,21.1,0.5,0.2,0.7,.118,0.4,-0.6,-0.3,0.1,
Derrick White,31,BOS,SG,9,9,287,13.6,.441,.604,.172,2.2,10.6,6.3,20.2,2.8,3.9,5.9,22.7,0.0,0.4,0.4,.064,-0.4,1.0,0.6,0.2,
Pascal Siakam,31,IND,PF,8,8,285,18.4,.519,.263,.413,3.6,20.7,11.4,31.0,2.0,1.0,10.4,31.0,0.0,0.4,0.4,.071,2.0,0.7,2.7,0.3,
