Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Luka Dončić,26,LAL,PG,5,5,39.0,12.6,25.2,.500,3.6,11.8,.305,9.0,13.4,.672,.571,11.2,14.2,.789,1.0,10.0,11.0,9.2,2.0,0.6,4.0,2.8,40.0,
Tyrese Maxey,25,PHI,PG,8,8,41.3,10.9,22.8,.478,4.3,8.9,.479,6.6,13.9,.477,.571,7.5,8.8,.857,0.4,4.8,5.1,8.5,1.1,1.0,2.9,2.6,33.5,
Shai Gilgeous-Alexander,27,OKC,PG,9,9,35.3,11.2,21.8,.515,2.0,5.7,.353,9.2,16.1,.572,.561,8.9,9.9,.899,0.3,5.1,5.4,6.3,0.9,1.2,1.9,2.1,33.3,
Giannis Antetokounmpo,31,MIL,PF,7,7,31.1,12.6,18.6,.677,0.9,1.4,.600,11.7,17.1,.683,.700,6.3,10.1,.620,4.0,8.6,12.6,6.3,0.9,1.0,2.6,2.9,32.3,
Donovan Mitchell,29,CLE,SG,7,7,33.9,10.9,18.9,.576,4.3,9.4,.455,6.6,9.4,.697,.689,5.9,7.1,.820,0.0,2.6,2.6,5.0,1.3,0.4,3.4,2.0,31.9,
Austin Reaves,27,LAL,SG,7,7,37.9,9.4,19.3,.489,3.0,8.7,.344,6.4,10.6,.608,.567,9.3,10.3,.903,0.6,4.6,5.1,9.3,1.4,0.0,3.4,2.1,31.1,
Devin Booker,29,PHO,SG,8,8,36.8,10.3,19.9,.516,2.8,6.4,.431,7.5,13.5,.556,.585,7.8,9.0,.861,1.4,2.5,3.9,7.0,0.5,0.4,4.3,2.8,31.0,
Bennedict Mathurin,23,IND,SF,2,2,36.5,8.5,15.5,.548,2.5,5.0,.500,6.0,10.5,.571,.629,11.5,13.0,.885,1.5,5.5,7.0,2.5,0.0,0.0,2.5,3.0,31.0,
Lauri Markkanen,28,UTA,PF,8,8,37.1,10.1,21.8,.466,3.5,9.9,.354,6.6,11.9,.558,.546,6.6,7.4,.898,2.1,4.5,6.6,2.0,0.6,0.5,1.5,1.3,30.4,
Jalen Brunson,29,NYK,PG,8,8,34.0,10.0,21.6,.462,2.6,7.9,.333,7.4,13.8,.536,.523,5.6,6.5,.865,0.5,3.4,3.9,6.1,1.1,0.0,2.3,2.6,28.3,
Jaylen Brown,29,BOS,SF,9,9,31.1,10.2,19.1,.535,2.3,6.0,.389,7.9,13.1,.602,.596,4.9,6.2,.786,0.6,3.9,4.4,4.3,0.8,0.3,3.6,3.7,27.7,
Zach LaVine,30,SAC,SG,7,7,37.0,9.3,18.0,.516,3.3,8.6,.383,6.0,9.4,.636,.607,5.6,6.0,.929,0.1,3.3,3.4,2.0,0.4,0.1,2.0,2.4,27.4,
Stephen Curry,37,GSW,PG,8,8,31.1,8.6,19.0,.454,4.4,11.3,.389,4.3,7.8,.548,.569,5.1,5.4,.953,0.3,3.4,3.6,4.3,1.5,0.6,2.9,1.9,26.8,
Julius Randle,31,MIN,PF,8,8,35.0,9.4,16.8,.560,2.4,5.4,.442,7.0,11.4,.615,.631,5.6,6.6,.849,1.1,5.8,6.9,5.6,1.1,0.4,2.5,2.4,26.8,
Pascal Siakam,31,IND,PF,8,8,35.6,9.4,20.9,.449,1.9,5.5,.341,7.5,15.4,.488,.494,5.0,8.6,.580,1.4,6.8,8.1,5.9,1.5,0.4,2.9,3.4,25.6,
Victor Wembanyama,22,SAS,C,7,7,33.7,9.0,17.7,.508,0.9,3.3,.261,8.1,14.4,.564,.532,6.7,8.4,.797,1.9,11.0,12.9,3.1,1.3,4.1,2.9,3.9,25.6,
Cade Cunningham,24,DET,PG,8,8,36.1,8.8,20.0,.438,2.0,6.5,.308,6.8,13.5,.500,.488,5.0,6.6,.755,0.9,4.4,5.3,9.6,1.0,0.9,3.6,3.8,24.5,
Deni Avdija,25,POR,SF,8,8,33.4,7.5,16.1,.465,2.3,6.3,.360,5.3,9.9,.532,.535,7.1,8.4,.851,1.4,5.1,6.5,4.5,0.8,0.9,3.9,2.9,24.4,
Kawhi Leonard,34,LAC,SF,6,6,33.5,8.8,17.5,.505,2.3,5.8,.400,6.5,11.7,.557,.571,4.3,4.5,.963,0.8,4.8,5.7,3.5,2.5,0.7,1.8,1.2,24.3,
Nikola Jokić,30,DEN,C,7,7,35.1,9.3,15.1,.613,1.6,5.1,.306,7.7,10.0,.771,.665,4.0,4.7,.848,2.7,10.7,13.4,12.0,2.3,0.9,2.7,2.7,24.1,
Kevin Durant,37,HOU,SF,7,7,35.4,7.7,16.3,.474,1.7,4.6,.375,6.0,11.7,.512,.526,6.9,7.9,.873,0.4,4.9,5.3,2.7,1.1,1.0,2.3,2.9,24.0,
LaMelo Ball,24,CHO,PG,6,6,33.3,8.2,19.0,.430,3.3,10.0,.333,4.8,9.0,.537,.518,3.7,4.5,.815,1.5,6.3,7.8,9.8,1.7,0.2,3.7,3.5,23.3,
James Harden,36,LAC,PG,7,7,33.6,6.9,14.6,.471,3.6,8.6,.417,3.3,6.0,.548,.593,6.0,6.4,.933,0.1,5.1,5.3,8.6,1.3,0.1,4.1,2.1,23.3,
Norman Powell,32,MIA,SG,5,5,30.4,6.4,13.8,.464,3.0,5.8,.517,3.4,8.0,.425,.572,7.4,7.8,.949,0.6,4.6,5.2,2.2,1.6,0.2,2.8,2.2,23.2,
